1;tt0000574;The Story of the Kelly Gang;1906;Biography, Crime, Drama;70;Australia;None;Charles Tait;Charles Tait;Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson;True story of notorious Australian outlaw Ned Kelly (1855-80).;6.1;589
4;tt0002130;L'Inferno;1911;Adventure, Drama, Fantasy;68;Italy;Italian;Francesco Bertolini, Adolfo Padovan;Dante Alighieri;Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta;Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.;7.0;2237
6;tt0002423;Madame DuBarry;1919;Biography, Drama, Romance;85;Germany;German;Ernst Lubitsch;Norbert Falk, Hanns Kräly;Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla;The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.;6.8;753
12;tt0003014;Ingeborg Holm;1913;Drama;96;Sweden;;Victor Sjöström;Nils Krok;Hilda Borgström, Aron Lindgren, Erik Lindholm, Georg Grönroos, William Larsson, Richard Lund, Carl Barcklind, Hugo Björne, Bertil Malmstedt;Single mother is separated from her children due to financial struggles.;7.1;948
13;tt0003037;Juve contre Fantômas;1913;Crime, Drama;61;France;French;Louis Feuillade;Marcel Allain, Louis Feuillade;René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Yvette Andréyor, Laurent Morléas;In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.;7.0;1349
16;tt0003165;Le mort qui tue;1913;Crime, Drama, Mystery;90;France;French;Louis Feuillade;Marcel Allain, Louis Feuillade;René Navarre, Edmund Breon, Georges Melchior, André Luguet, Luitz-Morat, Naudier, Armand Dutertre, Renée Carl, Fabienne Fabrèges, Jane Faber, Marie Dorly, Édouard Mathé;After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?;7.0;1050
18;tt0003419;Der Student von Prag;1913;Drama, Fantasy, Horror;85;Germany;German, English;Paul Wegener, Stellan Rye;Hanns Heinz Ewers, Hanns Heinz Ewers;Paul Wegener, Grete Berger, Lyda Salmonova, John Gottowt, Lothar Körner, Fritz Weidemann;Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...;6.5;1768
19;tt0003471;Traffic in Souls;1913;Crime, Drama;88;USA;English;George Loane Tucker;;Jane Gail, Ethel Grandin, William H. Turner, Matt Moore, William Welsh, Millie Liston, Irene Wallace, William Cavanaugh, Arthur Hunter, Howard Crampton, W.H. Bainbridge, Luray Huntley, William Powers, Jack Poulton, Edward Boring;A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.;6.0;552
22;tt0003643;The Avenging Conscience: or 'Thou Shalt Not Kill';1914;Crime, Drama, Horror;78;USA;English;D.W. Griffith;Edgar Allan Poe, D.W. Griffith;Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann, Ralph Lewis, Mae Marsh, Robert Harron, George Beranger;Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.;6.4;1105
24;tt0003740;Cabiria;1914;Adventure, Drama, History;148;Italy;Italian;Giovanni Pastrone;Gabriele D'Annunzio, Titus Livius;Carolina Catena, Lidia Quaranta, Gina Marangoni, Dante Testa, Umberto Mozzato, Bartolomeo Pagano, Raffaele di Napoli, Emilio Vardannes, Edoardo Davesnes, Italia Almirante-Manzini, Alex Bernard, Luigi Chellini, Vitale Di Stefano, Enrico Gemelli, Ignazio Lupi;Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.;7.1;3073
